QP,Nat,Athlete,Status,Details
1,ETH,Gudaf TSEGAY,Qualified by Entry Standard,"3:50.30 - Egret Stadium, Xiamen (CHN) - 20 APR 2024"
2,KEN,Faith KIPYEGON,Qualified by Entry Standard,"3:50.72 - Hayward Field, Eugene, OR (USA) - 16 SEP 2023"
3,ETH,Birke HAYLOM,Qualified by Entry Standard,"3:53.22 - Egret Stadium, Xiamen (CHN) - 20 APR 2024"
4,ETH,Diribe WELTEJI,Qualified by Entry Standard,"3:53.75 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,ETH,Hirut MESHESHA,Qualified by Entry Standard,"3:54.87 - Stadion Śląski, Chorzów (POL) - 16 JUL 2023"
5,GBR,Laura MUIR,Qualified by Entry Standard,"3:55.16 - Hayward Field, Eugene, OR (USA) - 16 SEP 2023"
,ETH,Freweyni HAILU,Qualified by Entry Standard,"3:55.28 - Arena, Toruń (POL) (i) - 06 FEB 2024"
6,USA,Nikki HILTZ,Qualified by Entry Standard,"3:55.33 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
7,NED,Sifan HASSAN,Qualified by Entry Standard,"3:55.48 - Nemzeti Atlétikai Központ, Budapest (HUN) - 20 AUG 2023"
8,IRL,Ciara MAGEEAN,Qualified by Entry Standard,"3:55.87 - Boudewijnstadion, Bruxelles (BEL) - 08 SEP 2023"
9,USA,Emily MACKAY,Qualified by Entry Standard,"3:55.90 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
10,AUS,Jessica HULL,Qualified by Entry Standard,"3:55.97 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
11,USA,Elle ST. PIERRE,Qualified by Entry Standard,"3:55.99 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
12,GBR,Katie SNOWDEN,Qualified by Entry Standard,"3:56.72 - Nemzeti Atlétikai Központ, Budapest (HUN) - 20 AUG 2023"
13,KEN,Nelly CHEPCHIRCHIR,Qualified by Entry Standard,"3:56.72 - Egret Stadium, Xiamen (CHN) - 02 SEP 2023"
,USA,Sinclaire JOHNSON,Qualified by Entry Standard,"3:56.75 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
14,AUS,Linden HALL,Qualified by Entry Standard,"3:56.92 - Hayward Field, Eugene, OR (USA) - 16 SEP 2023"
,ETH,Worknesh MESELE,Qualified by Entry Standard,"3:57.00 - Stadion Śląski, Chorzów (POL) - 16 JUL 2023"
,USA,Cory Ann MCGEE,Qualified by Entry Standard,"3:57.44 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
,USA,Elise CRANNY,Qualified by Entry Standard,"3:57.87 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
15,GBR,Melissa COURTNEY-BRYANT,Qualified by Entry Standard,"3:58.01 - Stadion Śląski, Chorzów (POL) - 16 JUL 2023"
,USA,Heather MACLEAN,Qualified by Entry Standard,"3:58.31 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
16,KEN,Susan Lokayo EJORE,Qualified by Entry Standard,"3:58.63 - Drake Stadium, Los Angeles, CA (USA) - 18 MAY 2024"
,GBR,Jemma REEKIE,Qualified by Entry Standard,"3:58.65 - Stadion Śląski, Chorzów (POL) - 16 JUL 2023"
17,JAM,Adelle TRACEY,Qualified by Entry Standard,"3:58.77 - Nemzeti Atlétikai Központ, Budapest (HUN) - 20 AUG 2023"
,ETH,Tigist GIRMA,Qualified by Entry Standard,"3:58.79 - Arena, Toruń (POL) (i) - 06 FEB 2024"
,KEN,Edinah JEBITOK,Qualified by Entry Standard,"3:58.88 - Olympiastadion, Stockholm (SWE) - 02 JUN 2024"
18,AUS,Georgia GRIFFITH,Qualified by Entry Standard,"3:59.04 - Egret Stadium, Xiamen (CHN) - 20 APR 2024"
,ETH,Habitam ALEMU,Qualified by Entry Standard,"3:59.06 - Egret Stadium, Xiamen (CHN) - 20 APR 2024"
,USA,Addison WILEY,Qualified by Entry Standard,"3:59.17 - Boudewijnstadion, Bruxelles (BEL) - 08 SEP 2023"
,ETH,Saron BERHE,Qualified by Entry Standard,"3:59.21 - Egret Stadium, Xiamen (CHN) - 20 APR 2024"
,AUS,Sarah BILLINGS,Qualified by Entry Standard,"3:59.59 - Egret Stadium, Xiamen (CHN) - 20 APR 2024"
19,IRL,Sarah HEALY,Qualified by Entry Standard,"3:59.68 - Nemzeti Atlétikai Központ, Budapest (HUN) - 20 AUG 2023"
,USA,Helen SCHLACHTENHAUFEN,Qualified by Entry Standard,"3:59.71 - Hayward Field, Eugene, OR (USA) - 30 JUN 2024"
,KEN,Beatrice CHEPKOECH,Qualified by Entry Standard,"3:59.73 - Drake Stadium, Los Angeles, CA (USA) - 18 MAY 2024"
,AUS,Abbey CALDWELL,Qualified by Entry Standard,"3:59.79 - Nemzeti Atlétikai Központ, Budapest (HUN) - 20 AUG 2023"
20,ESP,Esther GUERRERO,Qualified by Entry Standard,"4:00.13 - Nemzeti Atlétikai Központ, Budapest (HUN) - 20 AUG 2023"
,GBR,Georgia BELL,Qualified by Entry Standard,"4:00.41 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,GBR,Revee WALCOTT-NOLAN,Qualified by Entry Standard,"4:00.43 - Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL) - 20 JUN 2024"
21,ESP,Marta PÉREZ,Qualified by Entry Standard,"4:00.53 - Boudewijnstadion, Bruxelles (BEL) - 08 SEP 2023"
,USA,Danielle JONES,Qualified by Entry Standard,"4:00.64 - Olympiastadion, Stockholm (SWE) - 02 JUN 2024"
